"X","Y"
244077.19477856,613506.2017666
244975.43457856,613434.8326666
245259.49388543,613369.66051555
245512.69859468,613225.35364008
245713.54223283,613014.16904759
245769.50009189,612903.41234393
245793.78600497,612871.0292594
245955.02948164,612546.69438547
245990.16277852,612186.19720009
245924.24149988,611945.25650501
246220.52470581,611886.36960149
246258.00372848,611861.35198848
246263.1306,611862.371
246288.12300401,611862.371
246313.11549928,611862.37129993
246338.12390781,611862.3713
246363.12039976,611862.37139999
246388.12679344,611862.37149998
246413.12319949,611862.37169997
246438.1296,611862.3717
246463.51612325,611862.36192472
246714.74457095,611812.36640646
246738.12709976,611812.36649999
246963.41208498,611767.60269704
247003.11259717,611762.3709
247013.12980101,611762.3709
247038.12419949,611762.37109997
247063.12470394,611762.3711
247088.11709923,611762.37139993
247113.52742717,611762.36131999
247289.52537705,611727.33543175
247472.20450792,611703.26118772
247510.43506766,611687.4078
247538.12680091,611687.4078
247563.12099942,611687.40799997
247588.11939949,611687.40819997
247613.12179974,611687.40829999
247872.13719892,611653.28256471
247990.75034022,611604.10959887
247997.20165187,611603.259415
248009.39090812,611598.20477931
248064.95355133,611587.16456185
248322.13487939,611553.28142806
248394.12264092,611523.43800866
248547.2707743,611503.25019839
248605.46080194,611479.11310572
248689.7450646,611462.3659
248713.12960096,611462.3659
248738.12389946,611462.36609997
248763.12820778,611462.3661
248788.12459974,611462.36619999
248838.13310778,611462.3662
248863.12949975,611462.36629999
248888.12779973,611462.36639999
248913.1301,611462.36620003
248938.12039946,611462.36639997
248963.12279975,611462.36649999
249188.64181936,611417.56756227
249297.27582837,611403.24681552
249330.85924249,611389.31633321
249345.34424031,611386.43891509
249357.75476651,611378.16000408
249379.44811006,611369.16155212
249594.73304121,611409.40018528
249684.73714121,611411.95718528
249953.35992465,611383.07787689
250204.44819542,611283.34375777
250215.54175606,611274.92619989
250297.49735367,611240.94079087
250320.53596492,611236.3616731
250340.21036501,611223.22852711
250388.59622568,611203.16384192
250468.49497007,611141.77030348
250495.34596296,611136.43633346
250548.83711801,611100.75307367
250663.60048896,611053.16223992
250717.94947163,611011.40066903
250735.05035353,611008.0027217
250901.50929668,610984.31572445
250939.01139668,610973.55222445
250937.36144687,610967.80348261
251095.44483106,610936.39229475
251170.29606434,610886.44372474
251170.34878671,610886.43325137
251223.83946467,610850.75019395
251338.60103822,610803.16010512
251399.67763788,610756.22931508
251422.21398238,610753.2591414
251581.02960313,610687.40042842
251588.13309227,610687.4004
251613.1293,610687.4004
251638.13948987,610687.4003
251663.1355,610687.4003
251688.13569227,610687.4002
251713.1319,610687.4002
251738.13210329,610687.40000002
251763.1342013,610687.40009999
251788.14029914,610687.3999
251813.1344,610687.3999
251838.1326,610687.39980001
251863.12679971,610687.39989999
251888.1428987,610687.39979999
251913.14099914,610687.3996
251938.1352,610687.3996
251963.13529229,610687.3995
252013.1396,610687.3995
252015.79898717,610687.39946809
252054.00174282,610703.24566155
252313.14130029,610737.40469999
252338.13749227,610737.4046
252363.1336,610737.4046
252388.13570031,610737.40449999
252413.14179826,610737.40430002
252438.1338997,610737.40439999
252463.14200599,610737.40419998
252488.13619227,610737.4041
252513.1323,610737.4041
252535.92345217,610737.40400884
252593.35652062,610748.81602627
252604.06868358,610753.25804117
252638.63875027,610757.81365791
252913.13609871,610812.35659999
252938.14218989,610812.3565
252963.1383,610812.3565
252988.14240598,610812.35629998
253013.1385003,610812.35619999
253038.13660031,610812.35609999
253063.1446987,610812.35599999
253088.14480597,610812.35579998
253113.14080032,610812.35569999
253138.1389003,610812.35559999
253162.94106383,610812.35550078
253187.75332725,610812.36512478
253213.1392,610812.3652
253238.14530061,610812.36499997
253263.14150589,610812.36479998
253288.13750032,610812.36469999
253313.13550032,610812.36459999
253338.14369869,610812.36449999
253363.14170032,610812.36439999
253388.14380061,610812.36419997
253413.13799909,610812.364
253438.132,610812.364
253463.14609797,610812.36379998
253488.14220031,610812.36369999
253513.14420064,610812.36349997
253538.13839909,610812.3633
253563.1324,610812.3633
253588.14839605,610812.3629
253613.1386,610812.3629
253650.63991958,610804.91118827
253688.14069741,610812.36249997
253713.14679797,610812.36229998
253738.14280032,610812.36219999
253783.81423397,610812.35669271
254107.04892883,610758.63428435
254395.56599731,610603.31311285
254401.20353591,610598.95199413
254553.10399343,610491.4033339
254682.75552881,610381.97291596
254695.63742881,610369.07671596
254701.70527228,610359.98738203
254820.46037206,610336.38937133
255144.68450872,610120.02890484
255169.68260872,610095.07060484
255252.67471674,609987.06114035
255262.75860211,609976.96495643
255284.72770245,609960.08392872
255419.67948875,609870.02852254
255444.67748875,609845.07042254
255445.81600811,609843.9318887
255470.17416339,609819.53417198
255494.5416604,609795.21529674
255495.96275943,609793.79418008
255520.96025943,609768.74608008
255613.4196221,609646.53753548
255630.92175265,609639.27953695
255645.45712386,609636.39123603
255657.88431721,609628.09836941
255794.92995657,609571.26659991
255862.66109443,609557.80767541
255897.22106827,609553.25289647
255907.92884832,609548.81247319
255970.46044502,609536.38675489
256023.92165897,609500.71126322
256138.60775415,609453.15193679
256345.81850811,609293.9305887
256370.2473056,609269.46211503
256394.67548649,609245.0729248
256395.81660202,609243.93179057
256420.25400466,609219.45451805
256444.68088649,609195.0666248
256445.8194104,609193.92808641
256470.24881448,609169.45900501
256494.6777042,609145.06900935
256495.67350224,609144.07339577
256520.253618,609119.4632031
256544.82351622,609094.92269294
256703.96852998,608887.73374049
256705.36080095,608884.37526771
256720.25562501,608869.46209865
256744.82339934,608844.92380812
256903.96849588,608637.73574911
256908.25001663,608627.40783923
257029.29406493,608469.87650524
257222.3640045,608360.54512861
257394.54678715,608161.04873436
257413.60915602,608153.14373571
257620.8199104,607993.92238641
257645.24860449,607969.45401615
257669.67658196,607945.06502932
257670.67521516,607944.06658112
257695.68271516,607919.02838112
257777.55422996,607796.37688025
257845.82113912,607743.91995308
257870.17677094,607719.52456843
257894.54193673,607695.20811757
257895.82200177,607693.92829732
257920.81940177,607668.89039732
258137.17406834,607344.66754508
258137.84777136,607341.27707901
258178.90364602,607287.8451419
258189.23426602,607262.93218937
258316.11096126,607077.20232762
258399.65468963,606718.32019247
258401.04688333,606686.27539684
258414.03469826,606678.09183188
258484.8213601,606637.44583023
258487.26285559,606636.17006588
258496.23387889,606631.42429342
258506.4558062,606625.95021182
258508.30447004,606624.99783833
258529.39246859,606614.15237636
258545.48098896,606605.6923489
258557.90563989,606599.01409401
258561.68836136,606597.04873354
258570.16325341,606592.59384466
258588.60405341,606582.78734466
258611.05293163,606570.47822549
258655.28633163,606545.48252549
258689.10565004,606525.48515627
258727.61405004,606501.68195627
258766.17615299,606476.60172212
258804.49095299,606450.40892212
258851.0212306,606416.59607038
258883.4210306,606391.59677038
258943.80195546,606341.09435254
258953.08578771,606332.68671549
258960.77594997,606325.92643394
259035.76070615,606252.69531929
259040.5998236,606247.44641521
259044.68000377,606243.20568516
259127.47592259,606144.01113069
259127.75968464,606144.22945734
259133.25184375,606137.09122529
259135.04944374,606134.93759099
259146.18624374,606119.50039099
259145.28677382,606118.85148985
259226.25939534,605992.92375571
259237.72149534,605971.28295571
259290.00462921,605855.27405771
259294.06532921,605844.47785771
259321.6764744,605759.80179839
259326.5495744,605742.23919839
259362.51219685,605445.10448059
259362.15479685,605433.10278059
259361.85031848,605424.2085892
259361.34731848,605411.2074892
259342.67078242,605330.4658362
259542.6665968,605329.64723103
259838.34809392,605232.80969293
260089.95512065,605049.78248011
260095.03812065,605044.70248011
260102.77487163,605034.62484211
260134.75951747,605010.05627363
260269.6837797,604920.01943158
260294.6813797,604895.06173158
260453.90130817,604687.84685632
260553.99924388,604446.45631503
260561.67107978,604388.23683563
260578.99545435,604346.45858573
260587.94658153,604278.53265733
260658.16744987,604180.35266676
260752.36013708,603865.05885446
260748.3604425,603765.76670336
260778.44855593,603754.49002445
261005.63731576,603584.08347111
261020.68731576,603569.01467111
261237.13745623,603244.74632375
261240.69758155,603226.83403841
261262.16968845,603194.65666327
261265.70579511,603176.86096084
261287.14018562,603144.75026046
261297.79983508,603091.11773799
261362.16724077,602994.65943715
261365.70376544,602976.86195732
